SID,Team,Events,Event Names,Sub Events,Sub Event Names
0,1609,"[8, 8, 8, 8, 8, 8]","['Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass']","[85, 83, 82, 82, 85, 85]","['Simple pass', 'High pass', 'Head pass', 'Head pass', 'Simple pass', 'Simple pass']"
1,1631,"[8, 1]","['Pass', 'Duel']","[82, 10]","['Head pass', 'Air duel']"
2,1609,"[1, 8, 8, 8]","['Duel', 'Pass', 'Pass', 'Pass']","[10, 82, 82, 83]","['Air duel', 'Head pass', 'Head pass', 'High pass']"
3,1609,"[1, 8]","['Duel', 'Pass']","[10, 83]","['Air duel', 'High pass']"
4,1631,"[8, 8, 8, 8, 8]","['Pass', 'Pass', 'Pass', 'Pass', 'Pass']","[82, 82, 85, 85, 83]","['Head pass', 'Head pass', 'Simple pass', 'Simple pass', 'High pass']"
5,1631,"[8, 1]","['Pass', 'Duel']","[82, 13]","['Head pass', 'Ground loose ball duel']"
6,1609,"[8, 8]","['Pass', 'Pass']","[85, 84]","['Simple pass', 'Launch']"
7,1609,"[1, 1]","['Duel', 'Duel']","[11, 11]","['Ground attacking duel', 'Ground attacking duel']"
8,1631,"[1, 1]","['Duel', 'Duel']","[12, 12]","['Ground defending duel', 'Ground defending duel']"
9,1609,"[3, 8, 1]","['Free Kick', 'Pass', 'Duel']","[31, 85, 11]","['Free Kick', 'Simple pass', 'Ground attacking duel']"
10,1609,"[8, 8, 8, 8, 10, 200]","['Pass', 'Pass', 'Pass', 'Pass', 'Shot', 'Goal']","[85, 83, 85, 80, 100, 200]","['Simple pass', 'High pass', 'Simple pass', 'Cross', 'Shot', 'Goal']"
11,1609,"[1, 8]","['Duel', 'Pass']","[13, 85]","['Ground loose ball duel', 'Simple pass']"
12,1631,"[7, 7]","['Others on the ball', 'Others on the ball']","[72, 72]","['Touch', 'Touch']"
13,1631,"[1, 1]","['Duel', 'Duel']","[11, 12]","['Ground attacking duel', 'Ground defending duel']"
14,1609,"[1, 7]","['Duel', 'Others on the ball']","[11, 71]","['Ground attacking duel', 'Clearance']"
15,1631,"[5, 3, 1]","['Interruption', 'Free Kick', 'Duel']","[50, 36, 10]","['Ball out of the field', 'Throw in', 'Air duel']"
16,1631,"[10, 5]","['Shot', 'Interruption']","[100, 50]","['Shot', 'Ball out of the field']"
17,1609,"[3, 8]","['Free Kick', 'Pass']","[34, 85]","['Goal kick', 'Simple pass']"
18,1609,"[3, 8, 8]","['Free Kick', 'Pass', 'Pass']","[31, 85, 83]","['Free Kick', 'Simple pass', 'High pass']"
19,1631,"[1, 8]","['Duel', 'Pass']","[11, 80]","['Ground attacking duel', 'Cross']"
20,1609,"[7, 8, 1]","['Others on the ball', 'Pass', 'Duel']","[72, 85, 11]","['Touch', 'Simple pass', 'Ground attacking duel']"
21,1631,"[1, 8, 1]","['Duel', 'Pass', 'Duel']","[12, 80, 13]","['Ground defending duel', 'Cross', 'Ground loose ball duel']"
22,1631,"[5, 3, 8, 8]","['Interruption', 'Free Kick', 'Pass', 'Pass']","[50, 30, 85, 80]","['Ball out of the field', 'Corner', 'Simple pass', 'Cross']"
23,1631,"[1, 10, 200]","['Duel', 'Shot', 'Goal']","[10, 100, 200]","['Air duel', 'Shot', 'Goal']"
24,1631,"[7, 7, 8, 8]","['Others on the ball', 'Others on the ball', 'Pass', 'Pass']","[72, 72, 83, 82]","['Touch', 'Touch', 'High pass', 'Head pass']"
25,1631,"[1, 8, 8, 8]","['Duel', 'Pass', 'Pass', 'Pass']","[12, 85, 85, 83]","['Ground defending duel', 'Simple pass', 'Simple pass', 'High pass']"
26,1609,"[8, 8, 8, 8]","['Pass', 'Pass', 'Pass', 'Pass']","[81, 85, 85, 83]","['Hand pass', 'Simple pass', 'Simple pass', 'High pass']"
27,1631,"[5, 3, 8]","['Interruption', 'Free Kick', 'Pass']","[50, 36, 82]","['Ball out of the field', 'Throw in', 'Head pass']"
28,1609,"[8, 8]","['Pass', 'Pass']","[83, 82]","['High pass', 'Head pass']"
29,1631,"[8, 8, 8, 8, 1]","['Pass', 'Pass', 'Pass', 'Pass', 'Duel']","[85, 85, 86, 85, 11]","['Simple pass', 'Simple pass', 'Smart pass', 'Simple pass', 'Ground attacking duel']"
30,1609,"[1, 8, 8, 8]","['Duel', 'Pass', 'Pass', 'Pass']","[11, 85, 85, 85]","['Ground attacking duel', 'Simple pass', 'Simple pass', 'Simple pass']"
31,1609,"[1, 7, 10]","['Duel', 'Others on the ball', 'Shot']","[11, 70, 100]","['Ground attacking duel', 'Acceleration', 'Shot']"
32,1631,"[5, 3, 1]","['Interruption', 'Free Kick', 'Duel']","[50, 34, 10]","['Ball out of the field', 'Goal kick', 'Air duel']"
33,1609,"[1, 7]","['Duel', 'Others on the ball']","[10, 71]","['Air duel', 'Clearance']"
34,1631,"[5, 3, 8, 8]","['Interruption', 'Free Kick', 'Pass', 'Pass']","[50, 36, 85, 80]","['Ball out of the field', 'Throw in', 'Simple pass', 'Cross']"
35,1631,"[8, 1]","['Pass', 'Duel']","[85, 11]","['Simple pass', 'Ground attacking duel']"
36,1631,"[8, 8, 5]","['Pass', 'Pass', 'Interruption']","[85, 83, 50]","['Simple pass', 'High pass', 'Ball out of the field']"
37,1609,"[3, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]","['Free Kick', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass']","[34, 85, 85, 85, 85, 85, 83, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 80, 82]","['Goal kick', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'High pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Cross', 'Head pass']"
38,1631,"[7, 5]","['Others on the ball', 'Interruption']","[71, 50]","['Clearance', 'Ball out of the field']"
39,1631,"[5, 3, 8]","['Interruption', 'Free Kick', 'Pass']","[50, 36, 82]","['Ball out of the field', 'Throw in', 'Head pass']"
40,1609,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]","['Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass']","[82, 82, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 83]","['Head pass', 'Head pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'High pass']"
41,1631,"[5, 3, 1]","['Interruption', 'Free Kick', 'Duel']","[50, 34, 10]","['Ball out of the field', 'Goal kick', 'Air duel']"
42,1609,"[1, 8]","['Duel', 'Pass']","[13, 82]","['Ground loose ball duel', 'Head pass']"
43,1631,"[8, 8, 8, 8, 8]","['Pass', 'Pass', 'Pass', 'Pass', 'Pass']","[85, 85, 85, 85, 85]","['Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass']"
44,1631,"[3, 1]","['Free Kick', 'Duel']","[31, 11]","['Free Kick', 'Ground attacking duel']"
45,1631,"[8, 1]","['Pass', 'Duel']","[85, 11]","['Simple pass', 'Ground attacking duel']"
46,1609,"[8, 8]","['Pass', 'Pass']","[82, 85]","['Head pass', 'Simple pass']"
47,1631,"[5, 3, 1]","['Interruption', 'Free Kick', 'Duel']","[50, 36, 11]","['Ball out of the field', 'Throw in', 'Ground attacking duel']"
48,1631,"[8, 1]","['Pass', 'Duel']","[80, 12]","['Cross', 'Ground defending duel']"
49,1609,"[1, 8, 8, 8, 8, 8, 8]","['Duel', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass']","[13, 85, 85, 85, 85, 85, 85]","['Ground loose ball duel', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass']"
50,1631,"[7, 1]","['Others on the ball', 'Duel']","[71, 10]","['Clearance', 'Air duel']"
51,1631,"[8, 8]","['Pass', 'Pass']","[85, 85]","['Simple pass', 'Simple pass']"
52,1609,"[1, 8, 8, 1]","['Duel', 'Pass', 'Pass', 'Duel']","[12, 85, 85, 11]","['Ground defending duel', 'Simple pass', 'Simple pass', 'Ground attacking duel']"
53,1631,"[8, 1]","['Pass', 'Duel']","[81, 11]","['Hand pass', 'Ground attacking duel']"
54,1609,"[1, 1]","['Duel', 'Duel']","[12, 12]","['Ground defending duel', 'Ground defending duel']"
55,1631,"[1, 5]","['Duel', 'Interruption']","[11, 50]","['Ground attacking duel', 'Ball out of the field']"
56,1631,"[8, 7]","['Pass', 'Others on the ball']","[85, 71]","['Simple pass', 'Clearance']"
57,1609,"[8, 8, 8, 6]","['Pass', 'Pass', 'Pass', 'Offside']","[82, 82, 83, 6]","['Head pass', 'Head pass', 'High pass', 'Offside']"
58,1631,"[3, 1]","['Free Kick', 'Duel']","[31, 10]","['Free Kick', 'Air duel']"
59,1609,"[1, 7]","['Duel', 'Others on the ball']","[10, 71]","['Air duel', 'Clearance']"
60,1631,"[5, 3, 7]","['Interruption', 'Free Kick', 'Others on the ball']","[50, 36, 72]","['Ball out of the field', 'Throw in', 'Touch']"
61,1631,"[8, 1]","['Pass', 'Duel']","[82, 12]","['Head pass', 'Ground defending duel']"
62,1609,"[3, 8, 8, 8, 8, 8, 8, 8, 7]","['Free Kick', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Others on the ball']","[31, 85, 85, 85, 85, 85, 85, 83, 72]","['Free Kick', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'High pass', 'Touch']"
63,1631,"[5, 3, 7, 1]","['Interruption', 'Free Kick', 'Others on the ball', 'Duel']","[50, 34, 72, 13]","['Ball out of the field', 'Goal kick', 'Touch', 'Ground loose ball duel']"
64,1631,"[8, 6]","['Pass', 'Offside']","[86, 6]","['Smart pass', 'Offside']"
65,1609,"[3, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8]","['Free Kick', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Others on the ball', 'Pass', 'Pass', 'Pass']","[31, 85, 85, 85, 85, 85, 85, 85, 72, 85, 85, 85]","['Free Kick', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Touch', 'Simple pass', 'Simple pass', 'Simple pass']"
66,1609,"[1, 8]","['Duel', 'Pass']","[11, 80]","['Ground attacking duel', 'Cross']"
67,1631,"[8, 1]","['Pass', 'Duel']","[82, 13]","['Head pass', 'Ground loose ball duel']"
68,1609,"[1, 2]","['Duel', 'Foul']","[13, 20]","['Ground loose ball duel', 'Foul']"
69,1631,"[3, 1]","['Free Kick', 'Duel']","[31, 10]","['Free Kick', 'Air duel']"
70,1609,"[3, 8, 8, 8, 8, 8, 8]","['Free Kick', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass']","[36, 85, 85, 85, 85, 85, 85]","['Throw in', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass']"
71,1609,"[1, 8]","['Duel', 'Pass']","[12, 85]","['Ground defending duel', 'Simple pass']"
72,1609,"[3, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8]","['Free Kick', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Others on the ball', 'Pass']","[31, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 70, 85]","['Free Kick', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Acceleration', 'Simple pass']"
73,1609,"[1, 1]","['Duel', 'Duel']","[11, 11]","['Ground attacking duel', 'Ground attacking duel']"
74,1631,"[7, 5]","['Others on the ball', 'Interruption']","[72, 50]","['Touch', 'Ball out of the field']"
75,1609,"[3, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]","['Free Kick', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass']","[36, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85]","['Throw in', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass']"
76,1631,"[7, 1]","['Others on the ball', 'Duel']","[72, 12]","['Touch', 'Ground defending duel']"
77,1609,"[1, 8, 8, 8, 8, 8, 10]","['Duel', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Shot']","[11, 85, 85, 85, 86, 80, 100]","['Ground attacking duel', 'Simple pass', 'Simple pass', 'Simple pass', 'Smart pass', 'Cross', 'Shot']"
78,1631,"[7, 8, 1]","['Others on the ball', 'Pass', 'Duel']","[72, 84, 10]","['Touch', 'Launch', 'Air duel']"
